coral_number,first_seen_year,years_since,display_year,opacity_pct,fade_label,length,width,height,died_this_year,volume_cm3,status
LTER1_BR_T01_Poc_0.92_98_34,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.92_98_34,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.92_98_34,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,0,2013,100,Year +0,0.5,0.6,0.5,0,0.07943187351298636,Recruited
LTER1_BR_T01_Poc_0.94_98_34,2013,1,2014,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0.94_98_34,2013,2,2015,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,3,2016,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,4,2017,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0.94_98_34,2013,5,2018,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0_10_50,2019,0,2019,100,Year +0,20,20,15,0,3226.4350477839607,Recruited
LTER1_BR_T01_Poc_0_10_50,2019,1,2020,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0_10_50,2019,2,2021,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0_10_50,2019,3,2022,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0_10_50,2019,4,2023,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0_10_50,2019,5,2024,17,Year +5,NA,NA,NA,NA,NA,Surviving
LTER1_BR_T01_Poc_0_1_57,2014,0,2014,100,Year +0,1.9,0.9,1.9,0,2.013392432553413,Recruited
LTER1_BR_T01_Poc_0_1_57,2014,1,2015,83,Year +1,2,0.8,1.2,0,1.2411230236404116,Surviving
LTER1_BR_T01_Poc_0_1_57,2014,2,2016,67,Year +2,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_0_1_57,2014,3,2017,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0_1_57,2014,4,2018,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_0_1_57,2014,5,2019,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.18_83_25,2024,0,2024,100,Year +0,2.8,2,3.1,0,9.56128210082258,Recruited
LTER1_BR_T01_Poc_1.4_95_31,2023,0,2023,100,Year +0,2.3,1.8,1.9,0,4.1887902047863905,Recruited
LTER1_BR_T01_Poc_1.4_95_31,2023,1,2024,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_1.63_55_20,2018,0,2018,100,Year +0,1.5,1.5,0.5,0,0.8314554631028542,Recruited
LTER1_BR_T01_Poc_1.63_55_20,2018,1,2019,83,Year +1,NA,NA,NA,1,NA,Died this year
LTER1_BR_T01_Poc_1.63_55_20,2018,2,2020,67,Year +2,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.63_55_20,2018,3,2021,50,Year +3,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.63_55_20,2018,4,2022,33,Year +4,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.63_55_20,2018,5,2023,17,Year +5,NA,NA,NA,0,NA,Surviving
LTER1_BR_T01_Poc_1.65_100_40,2013,0,2013,100,Year +0,29.4,14.2,25.1,0,6287.891936573435,Recruited
LTER1_BR_T01_Poc_1.65_100_40,2013,1,2014,83,Year +1,28.2,12.8,22.1,0,4872.175638126571,Surviving
LTER1_BR_T01_Poc_1.65_100_40,2013,2,2015,67,Year +2,23.4,14.1,26.1,0,4988.916154543867,Surviving
LTER1_BR_T01_Poc_1.65_100_40,2013,3,2016,50,Year +3,23.9,14.8,24.4,0,4872.175638126571,Surviving
LTER1_BR_T01_Poc_1.65_100_40,2013,4,2017,33,Year +4,27,15,14.5,0,3497.6810301595297,Surviving
LTER1_BR_T01_Poc_1.65_100_40,2013,5,2018,17,Year +5,28.5,23.3,16.5,0,6178.6980105237435,Surviving
LTER1_BR_T01_Poc_1.68_80_16,2022,0,2022,100,Year +0,1.6,1,2,0,1.8875929785791112,Recruited
